utterance,focus_type,speaker,onglide_log,onglide
97,broad,CS_94,-0.822821645,-5.65
19,narrow,FK_92,-0.380211242,-1.4
20,contrastive,FK_92,-0.283301229,-0.92
21,contrastive,FK_92,-0.431363764,-1.7
23,broad,FK_92,0.480006943,2.02
24,narrow,FK_92,0.127104798,0.34
25,broad,FK_92,-0.44870632,-1.81
26,narrow,FK_92,-0.674861141,-3.73
28,contrastive,FK_92,0.397940009,1.5
29,narrow,FK_92,0.376576957,1.38
30,contrastive,FK_92,-0.485721426,-2.06
31,narrow,FK_92,0.380211242,1.4
32,broad,FK_92,0.307496038,1.03
33,contrastive,FK_92,-0.447158031,-1.8
34,broad,FK_92,-0.636487896,-3.33
37,broad,FK_92,-0.214843848,-0.64
38,contrastive,FK_92,-0.532754379,-2.41
39,narrow,FK_92,-0.489958479,-2.09
40,broad,FK_92,0.227886705,0.69
42,narrow,FK_92,-0.599883072,-2.98
43,broad,FK_92,-0.656098202,-3.53
44,narrow,FK_92,-0.424881637,-1.66
46,broad,FK_92,0.348304863,1.23
47,contrastive,FK_92,-0.450249108,-1.82
49,broad,FK_92,-0.641474111,-3.38
50,narrow,FK_92,0.416640507,1.61
52,contrastive,FK_92,0.283301229,0.92
53,broad,FK_92,-0.592176757,-2.91
54,contrastive,FK_92,0.336459734,1.17
56,contrastive,FK_92,0.283301229,0.92
57,contrastive,FK_92,-0.556302501,-2.6
58,broad,FK_92,0.442479769,1.77
61,contrastive,FK_92,NA,NA
62,contrastive,FK_92,0.440909082,1.76
63,broad,FK_92,-0.260071388,-0.82
64,contrastive,FK_92,0.46686762,1.93
65,broad,FK_92,-0.532754379,-2.41
66,contrastive,FK_92,0.350248018,1.24
68,narrow,FK_92,0.491361694,2.1
69,broad,FK_92,0.413299764,1.59
71,narrow,FK_92,-0.437750563,-1.74
72,broad,FK_92,-0.068185862,-0.17
74,broad,FK_92,NA,NA
75,narrow,FK_92,0.338456494,1.18
76,narrow,FK_92,0.403120521,1.53
77,contrastive,FK_92,0.315970345,1.07
79,contrastive,FK_92,0.46686762,1.93
80,narrow,FK_92,-0.26245109,-0.83
82,narrow,FK_92,0.222716471,0.67
83,contrastive,FK_92,-0.559906625,-2.63
84,narrow,FK_92,0.264817823,0.84
87,broad,FK_92,0.36361198,1.31
88,contrastive,FK_92,0.26245109,0.83
90,contrastive,FK_92,0.324282455,1.11
91,broad,FK_92,0.336459734,1.17
92,narrow,FK_92,-0.281033367,-0.91
93,narrow,FK_92,0.220108088,0.66
95,broad,FK_92,0.11058971,0.29
96,narrow,FK_92,0.561101384,2.64
97,broad,FK_92,-0.318063335,-1.08
98,narrow,FK_92,-0.278753601,-0.9
18,broad,HG_95,-0.230448921,-0.7
21,broad,HG_95,-0.26245109,-0.83
22,narrow,HG_95,-0.283301229,-0.92
23,narrow,HG_95,0.033423755,0.08
24,broad,HG_95,-0.382017043,-1.41
27,contrastive,HG_95,0.729974286,4.37
28,contrastive,HG_95,0.645422269,3.42
31,broad,HG_95,-0.563481085,-2.66
32,broad,HG_95,-0.489958479,-2.09
33,contrastive,HG_95,0.767155866,4.85
34,narrow,HG_95,0.611723308,3.09
37,contrastive,HG_95,0.720985744,4.26
39,contrastive,HG_95,0.657055853,3.54
41,broad,HG_95,-0.51054501,-2.24
42,broad,HG_95,-0.318063335,-1.08
43,narrow,HG_95,0.673941999,3.72
44,contrastive,HG_95,0.684845362,3.84
45,broad,HG_95,-0.307496038,-1.03
46,narrow,HG_95,0.686636269,3.86
47,contrastive,HG_95,0.764176132,4.81
48,narrow,HG_95,0.721810615,4.27
50,narrow,HG_95,-0.305351369,-1.02
51,contrastive,HG_95,0.673020907,3.71
53,broad,HG_95,-0.474216264,-1.98
54,narrow,HG_95,-0.235528447,-0.72
55,narrow,HG_95,0.860936621,6.26
57,broad,HG_95,-0.28780173,-0.94
58,broad,HG_95,-0.350248018,-1.24
60,contrastive,HG_95,0.855519156,6.17
62,contrastive,HG_95,0.743509765,4.54
63,broad,HG_95,-0.426511261,-1.67
65,narrow,HG_95,0.906873535,7.07
67,narrow,HG_95,0.752048448,4.65
68,contrastive,HG_95,0.782472624,5.06
69,contrastive,HG_95,0.910624405,7.14
70,broad,HG_95,-0.51851394,-2.3
72,narrow,HG_95,-0.278753601,-0.9
73,contrastive,HG_95,0.87909588,6.57
74,broad,HG_95,-0.399673721,-1.51
79,contrastive,HG_95,0.733999287,4.42
80,narrow,HG_95,0.902546779,6.99
81,contrastive,HG_95,0.882524538,6.63
83,broad,HG_95,-0.612783857,-3.1
84,contrastive,HG_95,0.898725182,6.92
86,narrow,HG_95,0.745855195,4.57
87,broad,HG_95,-0.541579244,-2.48
88,narrow,HG_95,0.879669206,6.58
89,narrow,HG_95,0.81756537,5.57
91,narrow,HG_95,0.751279104,4.64
93,broad,HG_95,-0.465382851,-1.92
94,contrastive,HG_95,0.848189117,6.05
95,broad,HG_95,-0.597695186,-2.96
96,contrastive,HG_95,0.799340549,5.3
97,broad,HG_95,-0.580924976,-2.81
98,narrow,HG_95,0.40654018,1.55
99,broad,HG_95,0.267171728,0.85
100,narrow,HG_95,0.822821645,5.65
101,contrastive,HG_95,0.804139432,5.37
103,narrow,HG_95,0.663700925,3.61
104,contrastive,HG_95,0.781755375,5.05
19,narrow,JP_96,0.374748346,1.37
20,narrow,JP_96,0.584331224,2.84
21,contrastive,JP_96,0.404833717,1.54
22,narrow,JP_96,0.230448921,0.7
23,contrastive,JP_96,0.459392488,1.88
25,narrow,JP_96,0.506505032,2.21
26,contrastive,JP_96,0.536558443,2.44
27,broad,JP_96,-0.645422269,-3.42
28,contrastive,JP_96,0.522444234,2.33
29,narrow,JP_96,0.404833717,1.54
30,contrastive,JP_96,0.303196057,1.01
31,narrow,JP_96,0.322219295,1.1
32,narrow,JP_96,0.503790683,2.19
33,broad,JP_96,0.480006943,2.02
35,contrastive,JP_96,0.537819095,2.45
36,contrastive,JP_96,0.214843848,0.64
38,narrow,JP_96,-0.484299839,-2.05
39,broad,JP_96,0.385606274,1.43
41,contrastive,JP_96,0.45331834,1.84
